Feature,Problem/Bug Occurred,Impact,Solution/Tackle Strategy
Group Chat,PGRST200 error: Foreign key resolution failure in PostgREST.,Member listing and message history failed to load despite correct schema.,Implemented manual data stitching by fetching parent records and then related profiles in a separate query.
Group Chat UI,Layout overflow: Input field was pushed off-screen in long message histories.,Users could not type or send messages once the thread reached a certain length.,"Applied CSS flexbox fixes (min-h-0, relative/absolute positioning) and auto-scroll logic."
Flashcards,3D Animation Glitch: Cards did not flip or rotated incorrectly on some browsers.,User experience felt unpolished and broken for study sessions.,"Added custom 3D CSS utilities (perspective, preserve-3d, backface-hidden) to globals.css."
Flashcard Generation,Parsing Error: Gemini LLM often wraps JSON in Markdown code blocks.,Flashcard generation would fail if the AI returned formatted text instead of raw JSON.,Implemented robust regex-based extraction to isolate JSON content from conversational LLM output.
Gemini API,404 Error: The v1/models/gemini-1.5-flash endpoint was not found or deprecated.,"All AI-driven features (OCR, Flashcards) were completely unavailable.",Switched to v1beta endpoint and updated to the 'gemini-1.5-flash-latest' model identifier.
Database Migration,"SQL Error: flashcard_decks, flashcards table not found.","Feature failed to save decks, resulting in data loss during study sessions.",Wrote and executed a comprehensive SQL migration script to establish study deck tables.
Database Migration,Type Mismatch: TEXT vs UUID for created_by foreign key.,"Database schema was invalid, preventing table creation and relationship linking.",Corrected column definitions to UUID to align with the authenticated profile schema.
Deployment,File Encoding Error: types/supabase.ts was encoded in UTF-16LE binary format.,Vercel and other serverless builders failed with 'Internal Error' during assembly.,Identified binary encoding and converted all critical type files to standard UTF-8.
Deployment,Build Error: missing 'use client' directive in DeckReview component.,Production build failed as Next.js couldn't determine server/client boundary for hooks.,Added 'use client' and verified code splitting to ensure build stability.
Notes Dashboard,Feature Gap: No discovery mechanism for trending or top-rated community notes.,User engagement was limited to strictly chronological discovery.,Implemented 'Top Rated' tab with score-based sorting (Upvotes - Downvotes).
Tiptap Editor,Performance Bug: IconButton component was created during render call.,"Caused flickering, unnecessary re-renders, and potential state loss in the editor.",Extracted the component definition to the top level outside the functional component.
PWA Interaction,Meta Missing: Lack of iOS-specific theme color and splash settings.,App appeared inconsistent on mobile devices and didn't feel like a native app.,Updated layout and manifest with comprehensive PWA and device-specific metadata.
